id,player,session,level,action,time,timestamp,"replace(state,char(13),' ')"
82386,188405223,714AAEEC4E307F323C9EE4857C1FD92C,Densidad_de_Objetos,0,0,"2020-11-17 16:13:07.457178","Inicio del nivel"
82387,188405223,714AAEEC4E307F323C9EE4857C1FD92C,Densidad_de_Objetos,1,3,"2020-11-17 16:13:16.240968","roca_Sprite; 30; Boton volPiedra"
82388,188405223,714AAEEC4E307F323C9EE4857C1FD92C,Densidad_de_Objetos,1,7,"2020-11-17 16:13:18.844028","rocaDiamante_Sprite; 100; Boton volDiamante"
82389,188405223,714AAEEC4E307F323C9EE4857C1FD92C,Densidad_de_Objetos,1,8,"2020-11-17 16:13:20.491486","rocaOro_Sprite; 50; Boton volOro"
82390,188405223,714AAEEC4E307F323C9EE4857C1FD92C,Densidad_de_Objetos,1,59,"2020-11-17 16:14:11.890521","roca_Sprite; 30; Boton volPiedra"
82391,188405223,714AAEEC4E307F323C9EE4857C1FD92C,Densidad_de_Objetos,3,10,"2020-11-17 16:14:22.864342","Final del nivel"
82392,188405223,4E27E1AC41D9DC0B3D0904BD2496F5EE,Densidad_de_Objetos,0,0,"2020-11-17 16:16:04.377069","Inicio del nivel"
82393,188405223,4E27E1AC41D9DC0B3D0904BD2496F5EE,Densidad_de_Objetos,1,3,"2020-11-17 16:16:11.399559","roca_Sprite; 30; Boton volPiedra"
82394,188405223,4E27E1AC41D9DC0B3D0904BD2496F5EE,Densidad_de_Objetos,1,6,"2020-11-17 16:16:14.499582","rocaOro_Sprite; 50; Boton volOro"
82395,188405223,4E27E1AC41D9DC0B3D0904BD2496F5EE,Densidad_de_Objetos,1,8,"2020-11-17 16:16:16.309593","rocaDiamante_Sprite; 100; Boton volDiamante"
82396,188405223,4E27E1AC41D9DC0B3D0904BD2496F5EE,Densidad_de_Objetos,3,10,"2020-11-17 16:16:18.157307","Final del nivel"
82397,188405223,180C36124C0FBEF57D6D8F9C172559D6,Densidad_de_Objetos,0,0,"2020-11-17 16:17:11.885120","Inicio del nivel"
82398,188405223,180C36124C0FBEF57D6D8F9C172559D6,Densidad_de_Objetos,3,3,"2020-11-17 16:17:18.312232","Final del nivel"
82399,188405223,227A1818430CD4591B167882E7C8074A,Densidad_de_Objetos,0,0,"2020-11-17 16:25:31.308441","Inicio del nivel"
82400,188405223,AC1C39AC4E15823C67350B80A69F9D03,Densidad_de_Objetos,0,0,"2020-11-17 16:27:53.002059","Inicio del nivel"
82401,188405223,AC1C39AC4E15823C67350B80A69F9D03,Densidad_de_Objetos,1,1,"2020-11-17 16:27:57.733105","rocaAcero_Sprite; 70; Boton volAcero; Player 0"
82402,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,20.01086,"2020-11-17 18:38:52.921826",anxiety_frustration
82403,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,40.015205,"2020-11-17 18:39:12.839450",anxiety_frustration
82404,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,60.014614,"2020-11-17 18:39:32.893712",anxiety_frustration
82405,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,80.015961,"2020-11-17 18:39:52.882096",anxiety_frustration
82406,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,0,84.248611,"2020-11-17 18:39:56.395635","Solucion: 555555555555555533333333333333335555555533333333553353535353535 // Consola_3"
82407,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,100.006432,"2020-11-17 18:40:12.808879",anxiety_frustration
82408,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,120.00692,"2020-11-17 18:40:32.836793",anxiety_frustration
82409,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,140.011673,"2020-11-17 18:40:52.837888",anxiety_frustration
82410,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,160.011749,"2020-11-17 18:41:12.890741",anxiety_frustration
82411,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,180.006882,"2020-11-17 18:41:32.886497",anxiety_frustration
82412,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,200.007599,"2020-11-17 18:41:52.872388",anxiety_frustration
82413,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,220.013397,"2020-11-17 18:42:12.824829",anxiety_frustration
82414,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,240.017456,"2020-11-17 18:42:32.892903",anxiety_frustration
82415,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,260.010101,"2020-11-17 18:42:52.821526",anxiety_frustration
82416,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,280.015625,"2020-11-17 18:43:12.884573",neutral_bored
82417,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,300.009644,"2020-11-17 18:43:33.026884",anxiety_frustration
82418,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,320.012512,"2020-11-17 18:43:52.920595",anxiety_frustration
82419,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,340.0159,"2020-11-17 18:44:12.813165",anxiety_frustration
82420,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,360.004578,"2020-11-17 18:44:32.942187",anxiety_frustration
82421,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,380.017426,"2020-11-17 18:44:52.819713",anxiety_frustration
82422,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,400.012543,"2020-11-17 18:45:12.821763",anxiety_frustration
82423,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,420.0177,"2020-11-17 18:45:32.836384",anxiety_frustration
82424,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,440.015625,"2020-11-17 18:45:52.825514",anxiety_frustration
82425,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,460.010284,"2020-11-17 18:46:12.877355",anxiety_frustration
82426,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,480.012787,"2020-11-17 18:46:32.842822",anxiety_frustration
82427,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,500.009277,"2020-11-17 18:46:52.819697",anxiety_frustration
82428,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,520.012695,"2020-11-17 18:47:12.818690",anxiety_frustration
82429,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,540.008179,"2020-11-17 18:47:32.819723",anxiety_frustration
82430,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,560.016357,"2020-11-17 18:47:52.931372",anxiety_frustration
82431,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,580.003479,"2020-11-17 18:48:12.905171",anxiety_frustration
82432,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,600.004822,"2020-11-17 18:48:32.995497",anxiety_frustration
82433,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,620.011963,"2020-11-17 18:48:52.959780",anxiety_frustration
82434,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,640.018311,"2020-11-17 18:49:12.950588",anxiety_frustration
82435,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,660.007568,"2020-11-17 18:49:32.875998",anxiety_frustration
82436,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,680.021423,"2020-11-17 18:49:52.944563",anxiety_frustration
82437,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,700.011536,"2020-11-17 18:50:12.940911",anxiety_frustration
82438,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,720.010132,"2020-11-17 18:50:32.946923",anxiety_frustration
82439,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,740.017883,"2020-11-17 18:50:52.902236",anxiety_frustration
82440,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,760.019897,"2020-11-17 18:51:12.963155",anxiety_frustration
82441,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,780.012268,"2020-11-17 18:51:32.887663",anxiety_frustration
82442,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,800.012024,"2020-11-17 18:51:52.879671",anxiety_frustration
82443,19525499-0,C901B4ED4929F95967803D90FC4ED0EE,N3D_2B,4,820.009644,"2020-11-17 18:52:12.946653",anxiety_frustration
